Genus	Sample	SubPathway	GeneCountPerGenome	OTUAbundanceInSample	CountContributedByOTU	ContributionPercentOfSample	ContributionPercentOfAllSamples
5	Cef6wkrec17	00010 Glycolysis / Gluconeogenesis	30.2090592334495	1601.33333333335	48374.7735191642	0.00083274284378442	4.50401209207619e-05
5	Cef6wkrec19	00010 Glycolysis / Gluconeogenesis	29.75	1724.49999999977	51303.874999993	0.000890174608993803	4.77673085701976e-05
5	Cef6wkrec20	00010 Glycolysis / Gluconeogenesis	30.1570680628272	1880.66666666621	56715.3926701433	0.000921058987246095	5.2805790251809e-05
5	NoAbx6wkrec39	00010 Glycolysis / Gluconeogenesis	29.6974358974359	823.499999999992	24455.8384615382	0.000624437609858188	2.27700067906247e-05
5	NoAbx6wkrec41	00010 Glycolysis / Gluconeogenesis	29.6666666666667	687.499999999566	20395.8333333205	0.000545726304267868	1.89898728776174e-05
Ruminococcus	Cef6wkrec13	00010 Glycolysis / Gluconeogenesis	27.1111111111111	160	4337.77777777778	0.000107359256211743	4.03875866335799e-06
Ruminococcus	Cef6wkrec17	00010 Glycolysis / Gluconeogenesis	26.1162790697674	294	7678.18604651163	0.000132175388499647	7.14890019795106e-06
Ruminococcus	Cef6wkrec19	00010 Glycolysis / Gluconeogenesis	31	264	8184	0.000142000755303693	7.61984651916742e-06
Ruminococcus	Cef6wkrec20	00010 Glycolysis / Gluconeogenesis	28.5862068965517	190	5431.37931034483	8.82056967502781e-05	5.05697418526502e-06
Ruminococcus	NoAbx29	00010 Glycolysis / Gluconeogenesis	27.1111111111111	58	1572.44444444444	5.12497515574067e-05	1.46405001546727e-06
Ruminococcus	NoAbx32	00010 Glycolysis / Gluconeogenesis	27.1111111111111	362	9814.22222222222	0.000281531636651563	9.13769147584745e-06
Ruminococcus	NoAbx6wkrec37	00010 Glycolysis / Gluconeogenesis	28.5862068965517	388	11091.4482758621	0.000298395280492703	1.03268735993833e-05
Ruminococcus	NoAbx6wkrec40	00010 Glycolysis / Gluconeogenesis	28.5862068965517	314	8976.06896551724	0.00029102798988944	8.35731523249062e-06
Ruminococcus	NoAbx6wkrec41	00010 Glycolysis / Gluconeogenesis	27.1111111111111	284	7699.55555555556	0.000206015117360954	7.16879662746043e-06
Ruminococcus	NoAbx6wkrec42	00010 Glycolysis / Gluconeogenesis	27.1111111111111	292	7916.44444444444	0.000225255457595538	7.37073456062833e-06
Ruminococcus	NoAbx6wkrec43	00010 Glycolysis / Gluconeogenesis	25.4	92	2336.8	6.68132695965277e-05	2.17571570698808e-06
Ruminococcus	NoAbx6wkrec44	00010 Glycolysis / Gluconeogenesis	28.5862068965517	278	7946.96551724138	0.000238801047224541	7.39915170265093e-06
5	Cef2dayrec28	00010 Glycolysis / Gluconeogenesis	31	13.999999999986	433.999999999566	3.00983099920012e-05	4.04082769955444e-07
5	Cef6wkrec16	00010 Glycolysis / Gluconeogenesis	30.0245901639344	1592.33333333331	47809.1557377042	0.000849701870059022	4.45134932712951e-05
5	Cef6wkrec18	00010 Glycolysis / Gluconeogenesis	30.0052724077329	1358.99999999992	40777.1652021065	0.000762306276167417	3.7966243930448e-05
5	NoAbx29	00010 Glycolysis / Gluconeogenesis	29.4486166007905	500.33333333334	14734.1245059291	0.000480220603667528	1.37184466433874e-05
5	NoAbx31	00010 Glycolysis / Gluconeogenesis	30.0877192982456	579.33333333346	17430.8187134541	0.00049421233105879	1.62292477150478e-05
5	NoAbx32	00010 Glycolysis / Gluconeogenesis	29.8090349075975	531.999999999918	15858.4065708394	0.000454915637274352	1.47652277747254e-05
5	NoAbx33	00010 Glycolysis / Gluconeogenesis	29.7305084745763	664.666666666353	19760.8779660924	0.000492161374139216	1.83986873393965e-05
5	NoAbx34	00010 Glycolysis / Gluconeogenesis	29.8887015177066	964.499999999927	28827.6526138258	0.00070811282406604	2.68404555749301e-05
5	NoAbx35	00010 Glycolysis / Gluconeogenesis	29.3157894736842	533.833333333236	15649.7456140322	0.000397171542868232	1.4570950591757e-05
5	NoAbx36	00010 Glycolysis / Gluconeogenesis	28.9628008752735	523.499999999898	15162.0262582027	0.000458927064942271	1.41168515404559e-05
5	NoAbx6wkrec37	00010 Glycolysis / Gluconeogenesis	29.2297297297297	626.499999999923	18312.4256756734	0.000492662568502095	1.70500822387943e-05
5	NoAbx6wkrec38	00010 Glycolysis / Gluconeogenesis	29.9035916824197	617.833333333371	18475.4357277894	0.000547811726113341	1.72018554032866e-05
5	NoAbx6wkrec40	00010 Glycolysis / Gluconeogenesis	28.8870967741935	332.666666666615	9609.77419354689	0.000311574396050578	8.94733680824575e-06
5	NoAbx6wkrec42	00010 Glycolysis / Gluconeogenesis	28.7796610169492	590.666666666449	16999.1864406717	0.000483696885302161	1.58273694560887e-05
5	NoAbx6wkrec43	00010 Glycolysis / Gluconeogenesis	29.3945578231293	617.499999999963	18151.1394557812	0.000518973371252689	1.68999140763755e-05
5	NoAbx6wkrec44	00010 Glycolysis / Gluconeogenesis	28.4861111111111	427.499999999862	12177.8124999961	0.000365935195213058	1.13383507073764e-05
Ruminococcus	Cef6wkrec14	00010 Glycolysis / Gluconeogenesis	25.4	128	3251.2	5.55124089369487e-05	3.02708272276602e-06
Ruminococcus	Cef6wkrec15	00010 Glycolysis / Gluconeogenesis	21	112	2352	4.2477970411936e-05	2.18986791459943e-06
Ruminococcus	Cef6wkrec16	00010 Glycolysis / Gluconeogenesis	21	84	1764	3.1351193629258e-05	1.64240093594958e-06
Ruminococcus	NoAbx31	00010 Glycolysis / Gluconeogenesis	25.4	224	5689.6	0.000161316030245999	5.29739476484053e-06
Ruminococcus	NoAbx34	00010 Glycolysis / Gluconeogenesis	24.4375	246	6011.625	0.000147667547302633	5.5972213869489e-06
Ruminococcus	NoAbx36	00010 Glycolysis / Gluconeogenesis	21	112	2352	7.11907787496584e-05	2.18986791459943e-06
Ruminococcus	NoAbx6wkrec39	00010 Glycolysis / Gluconeogenesis	27.1111111111111	234	6344	0.000161983086499794	5.90668454516106e-06
Ruminococcus	Cef6wkrec18	00010 Glycolysis / Gluconeogenesis	25.4	214	5435.6	0.00010161549912061	5.06090392712444e-06
Ruminococcus	NoAbx33	00010 Glycolysis / Gluconeogenesis	31	308	9548	0.000237801013110071	8.88982093902865e-06
Ruminococcus	NoAbx35	00010 Glycolysis / Gluconeogenesis	27.1111111111111	150	4066.66666666667	0.00010320706254053	3.78633624689811e-06
Ruminococcus	NoAbx6wkrec38	00010 Glycolysis / Gluconeogenesis	31	154	4774	0.000141552990630225	4.44491046951433e-06
7	NoAbx6wkrec41	00010 Glycolysis / Gluconeogenesis	26.2822085889571	83.233333333339	2187.55582822101	5.85318941376313e-05	2.03675948963273e-06
7	NoAbx33	00010 Glycolysis / Gluconeogenesis	26.1967213114754	75.166666666661	1969.12021857909	4.90426039917921e-05	1.8333814569113e-06
8	Cef2dayrec25	00010 Glycolysis / Gluconeogenesis	23	343.4	7898.2	0.000428849803888986	7.3537477734223e-06
8	Cef2dayrec26	00010 Glycolysis / Gluconeogenesis	23	493	11339	0.000558140322452927	1.05573606648142e-05
7	NoAbx6wkrec43	00010 Glycolysis / Gluconeogenesis	24.5309734513274	79.833333333322	1958.3893805307	5.59938367238849e-05	1.82339033533862e-06
6	Cef6wkrec15	00010 Glycolysis / Gluconeogenesis	31.9020408163265	477.25	15225.2489795918	0.000274973501560145	1.41757160851173e-05
6	Cef6wkrec16	00010 Glycolysis / Gluconeogenesis	31.695067264574	311.25000000006	9865.08968610055	0.000175330122969917	9.18505245673359e-06
6	Cef6wkrec17	00010 Glycolysis / Gluconeogenesis	33.2397959183673	219.750000000008	7304.44515306149	0.000125741662162367	6.80092265078262e-06
6	Cef6wkrec18	00010 Glycolysis / Gluconeogenesis	32.474358974359	458.99999999992	14905.7307692282	0.000278654292418969	1.3878223450336e-05
6	NoAbx31	00010 Glycolysis / Gluconeogenesis	34.4132841328413	278.500000000044	9584.09963099782	0.000271735957880117	8.92343208854014e-06
6	NoAbx32	00010 Glycolysis / Gluconeogenesis	34.6904761904762	259.250000000006	8993.50595238116	0.000257988497985746	8.37355022316264e-06
6	NoAbx34	00010 Glycolysis / Gluconeogenesis	33.2517482517483	235.999999999986	7847.41258741212	0.000192761220045322	7.30646132559419e-06
6	NoAbx6wkrec41	00010 Glycolysis / Gluconeogenesis	33.9734513274336	217.749999999998	7397.71902654861	0.000197938951470791	6.88776681014479e-06
7	Cef6wkrec14	00010 Glycolysis / Gluconeogenesis	27.1162790697674	172	4664	7.96351732535459e-05	4.34249317759003e-06
7	Cef6wkrec18	00010 Glycolysis / Gluconeogenesis	27.2	139.66666666661	3798.93333333179	7.10189320024342e-05	3.53705876546155e-06
[Ruminococcus]	Cef6wkrec13	00010 Glycolysis / Gluconeogenesis	27	76	2052	5.07866481485263e-05	1.91054802753318e-06
[Ruminococcus]	Cef6wkrec14	00010 Glycolysis / Gluconeogenesis	27	190	5130	8.75918608041789e-05	4.77637006883295e-06
[Ruminococcus]	Cef6wkrec15	00010 Glycolysis / Gluconeogenesis	27	19	513	9.26496548525646e-06	4.77637006883295e-07
[Ruminococcus]	Cef6wkrec16	00010 Glycolysis / Gluconeogenesis	27	114	3078	5.47046337816644e-05	2.86582204129977e-06
[Ruminococcus]	Cef6wkrec17	00010 Glycolysis / Gluconeogenesis	27	95	2565	4.41549435567041e-05	2.38818503441647e-06
[Ruminococcus]	Cef6wkrec18	00010 Glycolysis / Gluconeogenesis	27	95	2565	4.79512390986025e-05	2.38818503441647e-06
[Ruminococcus]	Cef6wkrec19	00010 Glycolysis / Gluconeogenesis	27	76	2052	3.56042949515126e-05	1.91054802753318e-06
[Ruminococcus]	Cef6wkrec20	00010 Glycolysis / Gluconeogenesis	27	38	1026	1.66622582763493e-05	9.5527401376659e-07
[Ruminococcus]	NoAbx29	00010 Glycolysis / Gluconeogenesis	27	76	2052	6.68796220860788e-05	1.91054802753318e-06
[Ruminococcus]	NoAbx32	00010 Glycolysis / Gluconeogenesis	27	57	1539	4.41478885433928e-05	1.43291102064988e-06
[Ruminococcus]	NoAbx34	00010 Glycolysis / Gluconeogenesis	27	38	1026	2.52023210916353e-05	9.5527401376659e-07
[Ruminococcus]	NoAbx35	00010 Glycolysis / Gluconeogenesis	27	171	4617	0.000117173854364663	4.29873306194965e-06
[Ruminococcus]	NoAbx6wkrec37	00010 Glycolysis / Gluconeogenesis	27	19	513	1.38013337019199e-05	4.77637006883295e-07
[Ruminococcus]	NoAbx6wkrec40	00010 Glycolysis / Gluconeogenesis	27	57	1539	4.98984664846589e-05	1.43291102064988e-06
[Ruminococcus]	NoAbx6wkrec43	00010 Glycolysis / Gluconeogenesis	27	114	3078	8.80054963275045e-05	2.86582204129977e-06
[Ruminococcus]	NoAbx6wkrec44	00010 Glycolysis / Gluconeogenesis	27	171	4617	0.00013873779024757	4.29873306194965e-06
[Ruminococcus]	NoAbx33	00010 Glycolysis / Gluconeogenesis	27	133	3591	8.94368912943301e-05	3.34345904818306e-06
[Ruminococcus]	NoAbx6wkrec39	00010 Glycolysis / Gluconeogenesis	27	19	513	1.30985692582589e-05	4.77637006883295e-07
[Ruminococcus]	NoAbx31	00010 Glycolysis / Gluconeogenesis	27	95	2565	7.27249046648249e-05	2.38818503441647e-06
[Ruminococcus]	NoAbx6wkrec41	00010 Glycolysis / Gluconeogenesis	27	152	4104	0.000109809720255775	3.82109605506636e-06
[Ruminococcus]	NoAbx6wkrec42	00010 Glycolysis / Gluconeogenesis	27	76	2052	5.83878535660567e-05	1.91054802753318e-06
7	Cef6wkrec13	00260 Glycine, serine and threonine metabolism	9.04411764705882	36.55	330.5625	8.18136519424816e-06	3.07775600561129e-07
7	Cef6wkrec15	00260 Glycine, serine and threonine metabolism	9.54929577464789	104.5	997.901408450704	1.80224602475333e-05	9.29112362372356e-07
7	Cef6wkrec16	00260 Glycine, serine and threonine metabolism	9.74603174603175	118.91666666664	1158.96560846535	2.05980471659002e-05	1.07907380956738e-06
7	Cef6wkrec17	00260 Glycine, serine and threonine metabolism	10.1176470588235	144	1456.94117647059	2.50803724805056e-05	1.35650881624647e-06
7	Cef6wkrec19	00260 Glycine, serine and threonine metabolism	9.2156862745098	67.25	619.754901960784	1.07533802763438e-05	5.77032897414813e-07
7	Cef6wkrec20	00260 Glycine, serine and threonine metabolism	9.54929577464789	85.08333333336	812.485915493212	1.31947857405887e-05	7.56478247194955e-07
7	NoAbx29	00260 Glycine, serine and threonine metabolism	9.54054054054054	35.6	339.643243243243	1.10697913022409e-05	3.16230374485064e-07
7	NoAbx31	00260 Glycine, serine and threonine metabolism	8.9344262295082	29.6	264.459016393443	7.49815078166334e-06	2.46228875308897e-07
7	NoAbx32	00260 Glycine, serine and threonine metabolism	9.43835616438356	49.8	470.030136986301	1.34833256008492e-05	4.37629215935832e-07
7	NoAbx34	00260 Glycine, serine and threonine metabolism	9.26666666666667	56.933333333336	527.582222222247	1.29593533788339e-05	4.91214022430938e-07
7	NoAbx35	00260 Glycine, serine and threonine metabolism	9.39240506329114	68.833333333336	646.510548523232	1.64076527740696e-05	6.01944178002171e-07
7	NoAbx36	00260 Glycine, serine and threonine metabolism	9.07547169811321	71.2	646.173584905661	1.95585037061618e-05	6.01630442536819e-07
7	NoAbx6wkrec37	00260 Glycine, serine and threonine metabolism	9.54054054054054	39.8	379.713513513513	1.02155027507378e-05	3.53538452373751e-07
7	NoAbx6wkrec38	00260 Glycine, serine and threonine metabolism	9.07547169811321	58.46666666664	530.61257861611	1.57330953852379e-05	4.9403548511662e-07
7	NoAbx6wkrec39	00260 Glycine, serine and threonine metabolism	9.44186046511628	74.416666666664	702.631782945711	1.79404894190416e-05	6.54196767538523e-07
7	NoAbx6wkrec40	00260 Glycine, serine and threonine metabolism	8.93421052631579	69.216666666696	618.396271930087	2.00500491547378e-05	5.75767922792348e-07
7	NoAbx6wkrec42	00260 Glycine, serine and threonine metabolism	9.18333333333333	82.68333333336	759.308611111356	2.16054580882143e-05	7.06966651680195e-07
7	NoAbx6wkrec44	00260 Glycine, serine and threonine metabolism	8.9344262295082	79.8	712.967213114754	2.14241922604525e-05	6.63819738163851e-07
Lactobacillus	Cef2dayrec21	00260 Glycine, serine and threonine metabolism	7	424.0000000002	2968.0000000014	0.000211670494557035	2.76340474937678e-06
Lactobacillus	Cef2dayrec22	00260 Glycine, serine and threonine metabolism	7	425.999999999802	2981.99999999861	0.000213098451484586	2.77643967743728e-06
Lactobacillus	Cef2dayrec23	00260 Glycine, serine and threonine metabolism	7	419.999999999802	2939.99999999861	0.000187496141661076	2.737334893248e-06
Lactobacillus	Cef2dayrec25	00260 Glycine, serine and threonine metabolism	7	327	2289	0.000124286191930046	2.13121073831552e-06
Lactobacillus	Cef2dayrec26	00260 Glycine, serine and threonine metabolism	7	282.999999999798	1980.99999999859	9.75108897414639e-05	1.84444232092618e-06
Lactobacillus	Cef2dayrec28	00260 Glycine, serine and threonine metabolism	7	424.999999999998	2974.99999999999	0.000206319060429246	2.76992221340701e-06
Lactobacillus	Cef6wkrec13	00260 Glycine, serine and threonine metabolism	7	1.000000000002	7.000000000014	1.73248799727288e-07	6.51746403155897e-09
Lactobacillus	Cef6wkrec14	00260 Glycine, serine and threonine metabolism	7	1.000000000002	7.000000000014	1.19521057627774e-07	6.51746403155897e-09
Lactobacillus	Cef6wkrec15	00260 Glycine, serine and threonine metabolism	7	2.000000000004	14.000000000028	2.52845061976315e-07	1.30349280631179e-08
Lactobacillus	Cef6wkrec16	00260 Glycine, serine and threonine metabolism	7	3	21	3.73228495586404e-07	1.95523920946378e-08
Lactobacillus	Cef6wkrec17	00260 Glycine, serine and threonine metabolism	7	3	21	3.61502461867753e-07	1.95523920946378e-08
Lactobacillus	Cef6wkrec18	00260 Glycine, serine and threonine metabolism	7	1.000000000002	7.000000000014	1.3086108136097e-07	6.51746403155897e-09
Lactobacillus	Cef6wkrec19	00260 Glycine, serine and threonine metabolism	7	1.000000000002	7.000000000014	1.21457146520997e-07	6.51746403155897e-09
Lactobacillus	Cef6wkrec20	00260 Glycine, serine and threonine metabolism	7	1.999999999998	13.999999999986	2.27360249384656e-07	1.30349280630788e-08
Lactobacillus	NoAbx31	00260 Glycine, serine and threonine metabolism	7	1.000000000002	7.000000000014	1.98469525401478e-07	6.51746403155897e-09
Lactobacillus	NoAbx32	00260 Glycine, serine and threonine metabolism	7	1.000000000002	7.000000000014	2.00802611958654e-07	6.51746403155897e-09
Lactobacillus	NoAbx35	00260 Glycine, serine and threonine metabolism	7	1.000000000002	7.000000000014	1.7765150109471e-07	6.51746403155897e-09
Lactobacillus	NoAbx6wkrec43	00260 Glycine, serine and threonine metabolism	7	1.000000000002	7.000000000014	2.00142454286473e-07	6.51746403155897e-09
Lactobacillus	NoAbx6wkrec44	00260 Glycine, serine and threonine metabolism	7	1.000000000002	7.000000000014	2.10345360999552e-07	6.51746403155897e-09
5	Cef6wkrec14	00260 Glycine, serine and threonine metabolism	12.4528301886792	927.333333333371	11547.9245283024	0.000197174307575092	1.07518832503168e-05
5	Cef6wkrec15	00260 Glycine, serine and threonine metabolism	12.3885714285714	851.666666666582	10550.9333333323	0.000190553670897788	9.82361835703317e-06
5	Cef6wkrec16	00260 Glycine, serine and threonine metabolism	12.5109489051095	894.666666666642	11193.128953771	0.000198933080015265	1.04215450509511e-05
5	Cef6wkrec18	00260 Glycine, serine and threonine metabolism	12.5420560747664	766.333333333293	9611.39563862878	0.000179679660950937	8.94884648110293e-06
5	Cef6wkrec20	00260 Glycine, serine and threonine metabolism	12.583850931677	1052.66666666641	13246.6004140755	0.000215125026689007	1.23334631055712e-05
5	NoAbx6wkrec37	00260 Glycine, serine and threonine metabolism	12.1805555555556	354.999999999956	4324.09722222169	0.000116331985815646	4.02602115924822e-06
5	NoAbx6wkrec39	00260 Glycine, serine and threonine metabolism	12.5301204819277	457.499999999996	5732.53012048188	0.000146370258885355	5.33736555285633e-06
Pseudomonas	Cef2dayrec23	00260 Glycine, serine and threonine metabolism	33	26.6666666666	879.9999999978	5.61212941025212e-05	8.19338335392298e-07
Pseudomonas	NoAbx32	00260 Glycine, serine and threonine metabolism	33	3.33333333334	110.00000000022	3.15546961649313e-06	1.02417291924498e-07
Pseudomonas	NoAbx33	00260 Glycine, serine and threonine metabolism	33	30	990	2.46567870736248e-05	9.21755627318639e-07
5	NoAbx29	00260 Glycine, serine and threonine metabolism	12.1884057971014	276.000000000004	3364.00000000005	0.000109640861938388	3.13210700030298e-06
5	NoAbx34	00260 Glycine, serine and threonine metabolism	12.4559270516717	533.999999999963	6651.46504559224	0.000163384364336066	6.19295488453321e-06
5	NoAbx36	00260 Glycine, serine and threonine metabolism	12.1259842519685	301.33333333328	3653.96325459253	0.000110598847626309	3.40208201205676e-06
5	NoAbx6wkrec43	00260 Glycine, serine and threonine metabolism	12.2834008097166	341.499999999981	4194.78137651799	0.000119936262841403	3.9056195345221e-06
5	NoAbx6wkrec44	00260 Glycine, serine and threonine metabolism	11.7702127659574	223.999999999919	2636.52765957351	7.92259089053122e-05	2.45478202706377e-06
5	Cef6wkrec13	00260 Glycine, serine and threonine metabolism	12.2698961937716	486.999999999985	5975.4394463666	0.000147891101703433	5.56353023776786e-06
5	Cef6wkrec17	00260 Glycine, serine and threonine metabolism	12.6296296296296	901.33333333334	11383.5061728396	0.000195960262198489	1.05987988620519e-05
5	Cef6wkrec19	00260 Glycine, serine and threonine metabolism	12.3261538461538	960.333333333201	11837.2164102548	0.000205387789705456	1.10212331696373e-05
5	NoAbx6wkrec41	00260 Glycine, serine and threonine metabolism	12.4028268551237	357.333333333085	4431.94346289445	0.000118584422965363	4.12643315846567e-06
6	Cef6wkrec13	00260 Glycine, serine and threonine metabolism	11.9617834394904	140.5	1680.63057324841	4.15953185142412e-05	1.56477847306613e-06
6	Cef6wkrec17	00260 Glycine, serine and threonine metabolism	11.6105263157895	107.250000000004	1245.22894736847	2.14358728601282e-05	1.15939069650197e-06
6	Cef6wkrec18	00260 Glycine, serine and threonine metabolism	11.5175438596491	227.99999999996	2625.99999999954	4.90915999504515e-05	2.44498007811952e-06
6	NoAbx29	00260 Glycine, serine and threonine metabolism	11.6953125	106.999999999996	1251.39843749995	4.07860889761727e-05	1.16513490079125e-06
6	NoAbx31	00260 Glycine, serine and threonine metabolism	12.3875968992248	133.833333333352	1657.87338501315	4.70053348426635e-05	1.54359002224007e-06
6	NoAbx32	00260 Glycine, serine and threonine metabolism	12.0816326530612	124.083333333336	1499.12925170071	4.30041527720747e-05	1.39578871094254e-06
6	NoAbx33	00260 Glycine, serine and threonine metabolism	12.3428571428571	143.250000000008	1768.11428571438	4.40363812774686e-05	1.64623160868658e-06
6	NoAbx34	00260 Glycine, serine and threonine metabolism	11.8602941176471	116.66666666666	1383.70098039208	3.39887684236371e-05	1.2883173385886e-06
6	NoAbx36	00260 Glycine, serine and threonine metabolism	12.24	63.749999999996	780.299999999951	2.36182672867155e-05	7.26511026259282e-07
6	NoAbx6wkrec40	00260 Glycine, serine and threonine metabolism	12.1510791366906	126.249999999964	1534.07374100676	4.9738744087473e-05	1.42832434696438e-06
6	Cef6wkrec19	00260 Glycine, serine and threonine metabolism	10.4769230769231	136.5	1430.1	2.48136950341901e-05	1.33151790164483e-06
6	Cef6wkrec20	00260 Glycine, serine and threonine metabolism	10.68	135.25	1444.47	2.34582185306416e-05	1.34489732423531e-06
6	NoAbx6wkrec42	00260 Glycine, serine and threonine metabolism	11.1391304347826	135	1503.78260869565	4.27888103078482e-05	1.40012129477689e-06
Ruminococcus	Cef6wkrec13	00260 Glycine, serine and threonine metabolism	7.14285714285714	60	428.571428571429	1.06070693710372e-05	3.99028410094649e-07
Ruminococcus	Cef6wkrec17	00260 Glycine, serine and threonine metabolism	6.94117647058824	116	805.176470588235	1.38606322074112e-05	7.49672669443704e-07
Ruminococcus	Cef6wkrec19	00260 Glycine, serine and threonine metabolism	8	96	768	1.33255840754199e-05	7.15058910889611e-07
Ruminococcus	Cef6wkrec20	00260 Glycine, serine and threonine metabolism	7.45454545454545	70	521.818181818182	8.474336567982e-06	4.85847318715242e-07
Ruminococcus	NoAbx29	00260 Glycine, serine and threonine metabolism	7.14285714285714	22	157.142857142857	5.12166418091664e-06	1.46310417034705e-07
Ruminococcus	NoAbx32	00260 Glycine, serine and threonine metabolism	7.14285714285714	138	985.714285714286	2.8276286173713e-05	9.17765343217693e-07
Ruminococcus	NoAbx6wkrec37	00260 Glycine, serine and threonine metabolism	7.45454545454545	142	1058.54545454545	2.84782437755015e-05	9.85575989393777e-07
Ruminococcus	NoAbx6wkrec40	00260 Glycine, serine and threonine metabolism	7.45454545454545	116	864.727272727273	2.80367542797611e-05	8.05118413870973e-07
Ruminococcus	NoAbx6wkrec41	00260 Glycine, serine and threonine metabolism	7.14285714285714	106	757.142857142857	2.02586855108468e-05	7.04950191167213e-07
Ruminococcus	NoAbx6wkrec42	00260 Glycine, serine and threonine metabolism	7.14285714285714	118	842.857142857143	2.39827580088927e-05	7.84755873186143e-07
Ruminococcus	NoAbx6wkrec43	00260 Glycine, serine and threonine metabolism	6.8	38	258.4	7.38811574107445e-06	2.40587529393067e-07
Ruminococcus	NoAbx6wkrec44	00260 Glycine, serine and threonine metabolism	7.45454545454545	102	760.363636363636	2.28484233687887e-05	7.07948950127925e-07
5	Cef2dayrec28	00260 Glycine, serine and threonine metabolism	13	7.999999999992	103.999999999896	7.21249824693116e-06	9.68308941828714e-08
5	NoAbx31	00260 Glycine, serine and threonine metabolism	12.6111111111111	319.3333333334	4027.14814814899	0.000114180883097568	3.74954188646684e-06
5	NoAbx32	00260 Glycine, serine and threonine metabolism	12.4908424908425	294.333333333293	3676.4713064708	0.000105463577304129	3.42303850041916e-06
5	NoAbx33	00260 Glycine, serine and threonine metabolism	12.3507692307692	362.999999999821	4483.32923076702	0.000111661105276748	4.17427671472894e-06
5	NoAbx35	00260 Glycine, serine and threonine metabolism	12.2421524663677	298.666666666617	3656.32286995455	9.27930351904352e-05	3.40427897037823e-06
