Category	SuperPathway	SubPathway
Metabolism	Metabolism of cofactors and vitamins	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
Metabolism	Amino acid metabolism	Tryptophan_metabolism
Metabolism	Lipid metabolism	Linoleic_acid_metabolism
Metabolism	Amino acid metabolism	Cysteine_and_methionine_metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Chlorocyclohexane_and_chlorobenzene_degradation
Metabolism	Biosynthesis of other secondary metabolites	Flavonoid_biosynthesis
Metabolism	Xenobiotics biodegradation and metabolism	Dioxin_degradation
Metabolism	Xenobiotics biodegradation and metabolism	Drug_metabolism_-_cytochrome_P450
Environmental Information Processing	Signal transduction	Two-component_system
Metabolism	Lipid metabolism	Biosynthesis_of_unsaturated_fatty_acids
Metabolism	Metabolism of terpenoids and polyketides	Carotenoid_biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	Limonene_and_pinene_degradation
Organismal Systems	Digestive system	Mineral_absorption
Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane_and_chloroalkene_degradation
Genetic Information Processing	Translation	mRNA_surveillance_pathway
Genetic Information Processing	Folding, sorting and degradation	Sulfur_relay_system
Metabolism	Xenobiotics biodegradation and metabolism	Drug_metabolism_-_other_enzymes
Metabolism	Biosynthesis of other secondary metabolites	Caffeine_metabolism
Metabolism	Lipid metabolism	Glycerolipid_metabolism
Metabolism	Metabolism of cofactors and vitamins	Biotin_metabolism
Metabolism	Lipid metabolism	Sphingolipid_metabolism
Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide_biosynthesis
Metabolism	Metabolism of other amino acids	Taurine_and_hypotaurine_metabolism
Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan_biosynthesis
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid_biosynthesis_-_lacto_and_neolacto_series
Metabolism	Glycan biosynthesis and metabolism	Mucin_type_O-glycan_biosynthesis
Metabolism	Glycan biosynthesis and metabolism	Other_types_of_O-glycan_biosynthesis
Metabolism	Glycan biosynthesis and metabolism	N-Glycan_biosynthesis
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid_biosynthesis_-_globo_series
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid_biosynthesis_-_ganglio_series
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_biosynthesis_-_chondroitin_sulfate___dermatan_sulfate
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_biosynthesis_-_keratan_sulfate
Metabolism	Glycan biosynthesis and metabolism	Various_types_of_N-glycan_biosynthesis
Genetic Information Processing	Translation	RNA_transport
Metabolism	Metabolism of cofactors and vitamins	Thiamine_metabolism
Metabolism	Lipid metabolism	Ether_lipid_metabolism
Metabolism	Biosynthesis of other secondary metabolites	Tropane_piperidine_and_pyridine_alkaloid_biosynthesis
Metabolism	Energy metabolism	Carbon_fixation_in_photosynthetic_organisms
Environmental Information Processing	Signal transduction	Calcium_signaling_pathway
Cellular Processes	Transport and catabolism	Endocytosis
Genetic Information Processing	Folding, sorting and degradation	RNA_degradation
Genetic Information Processing	Replication and repair	Non-homologous_end-joining
Metabolism	Metabolism of other amino acids	Selenocompound_metabolism
Human Diseases	Cancers	Chemical_carcinogenesis
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_biosynthesis_-_heparan_sulfate___heparin
Metabolism	Biosynthesis of other secondary metabolites	Penicillin_and_cephalosporin_biosynthesis
Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate_degradation
Metabolism	Metabolism of terpenoids and polyketides	Insect_hormone_biosynthesis
Metabolism	Lipid metabolism	Fatty_acid_elongation
Cellular Processes	Transport and catabolism	Lysosome
Metabolism	Glycan biosynthesis and metabolism	GlycosylphosphatidylinositolGPI-anchor_biosynthesis
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation
Genetic Information Processing	Replication and repair	Mismatch_repair
Genetic Information Processing	Replication and repair	Base_excision_repair
Genetic Information Processing	Replication and repair	Homologous_recombination
Human Diseases	Infectious diseases	Influenza_A
Cellular Processes	Cell growth and death	Apoptosis
Metabolism	Glycan biosynthesis and metabolism	Other_glycan_degradation
Organismal Systems	Endocrine system	Renin-angiotensin_system
Organismal Systems	Digestive system	Protein_digestion_and_absorption
Organismal Systems	Digestive system	Pancreatic_secretion
Human Diseases	Endocrine and metabolic diseases	Type_I_diabetes_mellitus
Organismal Systems	Immune system	Complement_and_coagulation_cascades
Environmental Information Processing	Signaling molecules and interaction	Neuroactive_ligand-receptor_interaction
Organismal Systems	Excretory system	Endocrine_and_other_factor-regulated_calcium_reabsorption
Cellular Processes	Transport and catabolism	Phagosome
Cellular Processes	Cell growth and death	Cell_cycle_-_Caulobacter
Environmental Information Processing	Signal transduction	NF-kappa_B_signaling_pathway
Human Diseases	Cancers	Pathways_in_cancer
Organismal Systems	Immune system	Natural_killer_cell_mediated_cytotoxicity
Human Diseases	Infectious diseases	Chagas_disease_American_trypanosomiasis
Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance
Genetic Information Processing	Folding, sorting and degradation	Protein_processing_in_endoplasmic_reticulum
Organismal Systems	Immune system	NOD-like_receptor_signaling_pathway
Environmental Information Processing	Signal transduction	Sphingolipid_signaling_pathway
Organismal Systems	Endocrine system	PPAR_signaling_pathway
Organismal Systems	Immune system	Hematopoietic_cell_lineage
Environmental Information Processing	Signal transduction	TNF_signaling_pathway
Organismal Systems	Immune system	Leukocyte_transendothelial_migration
Human Diseases	Infectious diseases	Staphylococcus_aureus_infection
Human Diseases	Infectious diseases	Leishmaniasis
Human Diseases	Neurodegenerative diseases	Alzheimer's_disease
Metabolism	Xenobiotics biodegradation and metabolism	Styrene_degradation
Environmental Information Processing	Signal transduction	cAMP_signaling_pathway
Organismal Systems	Endocrine system	Thyroid_hormone_signaling_pathway
Metabolism	Metabolism of other amino acids	beta-Alanine_metabolism
Metabolism	Lipid metabolism	alpha-Linolenic_acid_metabolism
Metabolism	Biosynthesis of other secondary metabolites	Indole_alkaloid_biosynthesis
Metabolism	Metabolism of other amino acids	D-Alanine_metabolism
Metabolism	Metabolism of other amino acids	D-Glutamine_and_D-glutamate_metabolism
Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism
Genetic Information Processing	Translation	Aminoacyl-tRNA_biosynthesis
Genetic Information Processing	Replication and repair	DNA_replication
Genetic Information Processing	Translation	Ribosome
Genetic Information Processing	Folding, sorting and degradation	Protein_export
Environmental Information Processing	Membrane transport	ABC_transporters
Cellular Processes	Cell growth and death	Cell_cycle
Environmental Information Processing	Signal transduction	PI3K-Akt_signaling_pathway
Organismal Systems	Development	Axon_guidance
Metabolism	Energy metabolism	Photosynthesis_-_antenna_proteins
Organismal Systems	Development	Dorso-ventral_axis_formation
Environmental Information Processing	Signal transduction	Rap1_signaling_pathway
Environmental Information Processing	Signal transduction	Ras_signaling_pathway
Human Diseases	Cancers	MicroRNAs_in_cancer
Human Diseases	Drug resistance	beta-Lactam_resistance
Cellular Processes	Cell growth and death	Cell_cycle_-_yeast
Environmental Information Processing	Signal transduction	MAPK_signaling_pathway
Genetic Information Processing	Transcription	Basal_transcription_factors
Environmental Information Processing	Signal transduction	FoxO_signaling_pathway
Genetic Information Processing	Folding, sorting and degradation	Ubiquitin_mediated_proteolysis
Environmental Information Processing	Signal transduction	Hedgehog_signaling_pathway
Organismal Systems	Nervous system	Dopaminergic_synapse
Organismal Systems	Environmental adaptation	Circadian_rhythm
Genetic Information Processing	Replication and repair	Fanconi_anemia_pathway
Cellular Processes	Cell motility	Flagellar_assembly
Cellular Processes	Cell motility	Bacterial_chemotaxis
Environmental Information Processing	Signal transduction	MAPK_signaling_pathway_-_fly
Environmental Information Processing	Membrane transport	Bacterial_secretion_system
Environmental Information Processing	Signal transduction	Notch_signaling_pathway
Cellular Processes	Cell growth and death	Oocyte_meiosis
Metabolism	Energy metabolism	Photosynthesis
Genetic Information Processing	Folding, sorting and degradation	Proteasome
Environmental Information Processing	Membrane transport	Phosphotransferase_system_PTS
Environmental Information Processing	Signal transduction	ErbB_signaling_pathway
Human Diseases	Infectious diseases	Vibrio_cholerae_pathogenic_cycle
Genetic Information Processing	Translation	Ribosome_biogenesis_in_eukaryotes
Human Diseases	Infectious diseases	Epithelial_cell_signaling_in_Helicobacter_pylori_infection
Human Diseases	Infectious diseases	Legionellosis
Environmental Information Processing	Signal transduction	AMPK_signaling_pathway
Genetic Information Processing	Transcription	Spliceosome
Metabolism	Xenobiotics biodegradation and metabolism	Steroid_degradation
Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam_degradation
Metabolism	Xenobiotics biodegradation and metabolism	Atrazine_degradation
Organismal Systems	Digestive system	Bile_secretion
Metabolism	Metabolism of cofactors and vitamins	Lipoic_acid_metabolism
Genetic Information Processing	Replication and repair	Nucleotide_excision_repair
Environmental Information Processing	Signal transduction	Hippo_signaling_pathway
Metabolism	Xenobiotics biodegradation and metabolism	Polycyclic_aromatic_hydrocarbon_degradation
Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid_biosynthesis
Environmental Information Processing	Signal transduction	cGMP_-_PKG_signaling_pathway
Environmental Information Processing	Signaling molecules and interaction	Cytokine-cytokine_receptor_interaction
Human Diseases	Neurodegenerative diseases	Parkinson's_disease
Organismal Systems	Endocrine system	Estrogen_signaling_pathway
Organismal Systems	Sensory system	Phototransduction
Organismal Systems	Sensory system	Olfactory_transduction
Organismal Systems	Immune system	Platelet_activation
Organismal Systems	Endocrine system	Insulin_secretion
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin_biosynthesis
Environmental Information Processing	Signal transduction	VEGF_signaling_pathway
Environmental Information Processing	Signal transduction	Jak-STAT_signaling_pathway
Environmental Information Processing	Signal transduction	TGF-beta_signaling_pathway
Organismal Systems	Nervous system	Serotonergic_synapse
Human Diseases	Neurodegenerative diseases	Huntington's_disease
Organismal Systems	Nervous system	Long-term_depression
Genetic Information Processing	Folding, sorting and degradation	SNARE_interactions_in_vesicular_transport
Human Diseases	Neurodegenerative diseases	Amyotrophic_lateral_sclerosis_ALS
Cellular Processes	Cell growth and death	p53_signaling_pathway
Organismal Systems	Sensory system	Taste_transduction
Organismal Systems	Digestive system	Carbohydrate_digestion_and_absorption
Environmental Information Processing	Signal transduction	MAPK_signaling_pathway_-_yeast
Organismal Systems	Nervous system	GABAergic_synapse
Organismal Systems	Excretory system	Vasopressin-regulated_water_reabsorption
Organismal Systems	Excretory system	Aldosterone-regulated_sodium_reabsorption
Organismal Systems	Sensory system	Inflammatory_mediator_regulation_of_TRP_channels
Organismal Systems	Circulatory system	Adrenergic_signaling_in_cardiomyocytes
Organismal Systems	Digestive system	Gastric_acid_secretion
Organismal Systems	Nervous system	Cholinergic_synapse
Organismal Systems	Digestive system	Salivary_secretion
Organismal Systems	Endocrine system	Oxytocin_signaling_pathway
Organismal Systems	Excretory system	Collecting_duct_acid_secretion
Cellular Processes	Cell motility	Regulation_of_actin_cytoskeleton
Organismal Systems	Nervous system	Neurotrophin_signaling_pathway
Human Diseases	Cancers	Non-small_cell_lung_cancer
Metabolism	Biosynthesis of other secondary metabolites	Flavone_and_flavonol_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid_biosynthesis
Organismal Systems	Sensory system	Phototransduction_-_fly
Metabolism	Biosynthesis of other secondary metabolites	Monobactam_biosynthesis
Organismal Systems	Environmental adaptation	Plant-pathogen_interaction
Organismal Systems	Immune system	Toll-like_receptor_signaling_pathway
Environmental Information Processing	Signaling molecules and interaction	Cell_adhesion_molecules_CAMs
Human Diseases	Immune diseases	Inflammatiory_bowel_disease_IBD
Organismal Systems	Endocrine system	Ovarian_Steroidogenesis
Metabolism	Metabolism of terpenoids and polyketides	Monoterpenoid_biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_type_II_polyketide_backbone
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_type_II_polyketide_products
Organismal Systems	Nervous system	Glutamatergic_synapse
Environmental Information Processing	Signal transduction	Hippo_signaling_pathway_-fly
Human Diseases	Neurodegenerative diseases	Prion_diseases
Cellular Processes	Cellular commiunity	Adherens_junction
Metabolism	Xenobiotics biodegradation and metabolism	Toluene_degradation
Organismal Systems	Immune system	T_cell_receptor_signaling_pathway
Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol_degradation
Human Diseases	Infectious diseases	Salmonella_infection
Metabolism	Metabolism of terpenoids and polyketides	Sesquiterpenoid_and_triterpenoid_biosynthesis
Cellular Processes	Cellular commiunity	Tight_junction
Environmental Information Processing	Signaling molecules and interaction	ECM-receptor_interaction
Cellular Processes	Cellular commiunity	Focal_adhesion
Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene_degradation
Environmental Information Processing	Signal transduction	HIF-1_signaling_pathway
Organismal Systems	Immune system	B_cell_receptor_signaling_pathway
Organismal Systems	Immune system	Antigen_processing_and_presentation
Organismal Systems	Development	Osteoclast_differentiation
Human Diseases	Cancers	Choline_metabolism_in_cancer
Human Diseases	Infectious diseases	Measles
Human Diseases	Infectious diseases	Malaria
Human Diseases	Cardiovascular diseases	Viral_myocarditis
Organismal Systems	Endocrine system	Insulin_signaling_pathway
Human Diseases	Infectious diseases	Pertussis
Cellular Processes	Cellular commiunity	Gap_junction
Human Diseases	Endocrine and metabolic diseases	Type_II_diabetes_mellitus
Human Diseases	Cardiovascular diseases	Arrhythmogenic_right_ventricular_cardiomyopathy_ARVC
Human Diseases	Cardiovascular diseases	Hypertrophic_cardiomyopathy_HCM
Organismal Systems	Environmental adaptation	Circadian_entrainment
Human Diseases	Endocrine and metabolic diseases	Maturity_onset_diabetes_of_the_young
Cellular Processes	Cellular commiunity	Signaling_pathways_regulating_pluripotency_of_stem_cells
Human Diseases	Cancers	Proteoglycans_in_cancer
Cellular Processes	Cell growth and death	Meiosis_-_yeast
Human Diseases	Cancers	Central_carbon_metabolism_in_cancer
Metabolism	Metabolism of other amino acids	Cyanoamino_acid_metabolism
Environmental Information Processing	Signal transduction	mTOR_signaling_pathway
Cellular Processes	Transport and catabolism	Regulation_of_autophagy
Organismal Systems	Circulatory system	Vascular_smooth_muscle_contraction
Organismal Systems	Endocrine system	Adipocytokine_signaling_pathway
Human Diseases	Infectious diseases	Amoebiasis
Organismal Systems	Immune system	RIG-I-like_receptor_signaling_pathway
Human Diseases	Infectious diseases	Vibrio_cholerae_infection
Human Diseases	Cancers	Viral_carcinogenesis
Organismal Systems	Endocrine system	Melanogenesis
Organismal Systems	Digestive system	Fat_digestion_and_absorption
Human Diseases	Cancers	Acute_myeloid_leukemia
Organismal Systems	Immune system	Chemokine_signaling_pathway
Human Diseases	Infectious diseases	HTLV-I_infection
Organismal Systems	Immune system	Fc_gamma_R-mediated_phagocytosis
Organismal Systems	Environmental adaptation	Circadian_rhythm_-_fly
Human Diseases	Endocrine and metabolic diseases	Non-alcoholic_fatty_liver_disease_NAFLD
Organismal Systems	Circulatory system	Cardiac_muscle_contraction
Organismal Systems	Endocrine system	Thyroid_hormone_synthesis
Organismal Systems	Endocrine system	Prolactin_signaling_pathway
Metabolism	Metabolism of terpenoids and polyketides	Brassinosteroid_biosynthesis
Human Diseases	Cancers	Renal_cell_carcinoma
Human Diseases	Infectious diseases	Tuberculosis
Metabolism	Xenobiotics biodegradation and metabolism	Xylene_degradation
Human Diseases	Immune diseases	Systemic_lupus_erythematosus
Metabolism	Xenobiotics biodegradation and metabolism	Ethylbenzene_degradation
Human Diseases	Immune diseases	Asthma
Organismal Systems	Immune system	Cytosolic_DNA-sensing_pathway
Metabolism	Metabolism of terpenoids and polyketides	Type_I_polyketide_structures
Organismal Systems	Immune system	Intestinal_immune_network_for_IgA_production
Human Diseases	Infectious diseases	Pathogenic_Escherichia_coli_infection
Human Diseases	Infectious diseases	Shigellosis
Human Diseases	Infectious diseases	Herpes_simplex_infection
Human Diseases	Substance dependence	Alcoholism
Organismal Systems	Environmental adaptation	Circadian_rhythm_-_plant
Environmental Information Processing	Signal transduction	Plant_hormone_signal_transduction
Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Puromycin_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Acridone_alkaloid_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Clavulanic_acid_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid_diarylheptanoid_and_gingerol_biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_12-_14-_and_16-membered_macrolides
Metabolism	Lipid metabolism	Cutin_suberine_and_wax_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Butirosin_and_neomycin_biosynthesis
Organismal Systems	Excretory system	Proximal_tubule_bicarbonate_reclamation
Organismal Systems	Nervous system	Retrograde_endocannabinoid_signaling
Human Diseases	Infectious diseases	Bacterial_invasion_of_epithelial_cells
Human Diseases	Infectious diseases	Epstein-Barr_virus_infection
Human Diseases	Infectious diseases	Toxoplasmosis
Human Diseases	Infectious diseases	Hepatitis_C
Metabolism	Metabolism of terpenoids and polyketides	Tetracycline_biosynthesis
Organismal Systems	Digestive system	Vitamin_digestion_and_absorption
Human Diseases	Infectious diseases	African_trypanosomiasis
Organismal Systems	Nervous system	Synaptic_vesicle_cycle
Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin_biosynthesis
Organismal Systems	Endocrine system	Glucagon_signaling_pathway
Metabolism	Metabolism of terpenoids and polyketides	Nonribosomal_peptide_structures
Metabolism	Biosynthesis of other secondary metabolites	Betalain_biosynthesis
Human Diseases	Substance dependence	Cocaine_addiction
Human Diseases	Substance dependence	Amphetamine_addiction
Metabolism	Lipid metabolism	Secondary_bile_acid_biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_ansamycins
Human Diseases	Infectious diseases	Hepatitis_B
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_vancomycin_group_antibiotics
Metabolism	Xenobiotics biodegradation and metabolism	Furfural_degradation
Metabolism	Metabolism of other amino acids	D-Arginine_and_D-ornithine_metabolism
Metabolism	Biosynthesis of other secondary metabolites	Carbapenem_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Indole_diterpene_alkaloid_biosynthesis
None	None	None
