Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU_ID
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		176118
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			833390
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			213896
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		272595
Bacteria	Firmicutes	Clostridia	Clostridiales				307416
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		135956
Bacteria	Firmicutes	Clostridia	Clostridiales				335183
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		838685
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			203713
Bacteria	Firmicutes	Clostridia	Clostridiales				174320
