Category	SuperPathway	SubPathway
Metabolism	Metabolism of terpenoids and polyketides	Carotenoid_biosynthesis
Organismal Systems	Digestive system	Mineral_absorption
Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane_and_chloroalkene_degradation
Genetic Information Processing	Folding, sorting and degradation	Sulfur_relay_system
Metabolism	Xenobiotics biodegradation and metabolism	Drug_metabolism_-_other_enzymes
Metabolism	Lipid metabolism	Glycerolipid_metabolism
Metabolism	Metabolism of cofactors and vitamins	Biotin_metabolism
Metabolism	Lipid metabolism	Sphingolipid_metabolism
Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide_biosynthesis
Metabolism	Metabolism of other amino acids	Taurine_and_hypotaurine_metabolism
Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan_biosynthesis
Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism
Metabolism	Glycan biosynthesis and metabolism	N-Glycan_biosynthesis
Genetic Information Processing	Translation	RNA_transport
Metabolism	Metabolism of cofactors and vitamins	Thiamine_metabolism
Metabolism	Lipid metabolism	Ether_lipid_metabolism
Metabolism	Energy metabolism	Carbon_fixation_in_photosynthetic_organisms
Genetic Information Processing	Folding, sorting and degradation	RNA_degradation
Genetic Information Processing	Replication and repair	Non-homologous_end-joining
Metabolism	Metabolism of other amino acids	Selenocompound_metabolism
Metabolism	Biosynthesis of other secondary metabolites	Penicillin_and_cephalosporin_biosynthesis
Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate_degradation
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation
Genetic Information Processing	Replication and repair	Mismatch_repair
Genetic Information Processing	Replication and repair	Base_excision_repair
Genetic Information Processing	Replication and repair	Homologous_recombination
Cellular Processes	Cell growth and death	Apoptosis
Metabolism	Glycan biosynthesis and metabolism	Other_glycan_degradation
Organismal Systems	Digestive system	Protein_digestion_and_absorption
Cellular Processes	Cell growth and death	Cell_cycle_-_Caulobacter
Human Diseases	Infectious diseases	Chagas_disease_American_trypanosomiasis
Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance
Genetic Information Processing	Folding, sorting and degradation	Protein_processing_in_endoplasmic_reticulum
Human Diseases	Infectious diseases	Staphylococcus_aureus_infection
Metabolism	Metabolism of other amino acids	beta-Alanine_metabolism
Metabolism	Metabolism of other amino acids	D-Alanine_metabolism
Metabolism	Metabolism of other amino acids	D-Glutamine_and_D-glutamate_metabolism
Metabolism	Metabolism of other amino acids	Phosphonate_and_phosphinate_metabolism
Genetic Information Processing	Translation	Aminoacyl-tRNA_biosynthesis
Genetic Information Processing	Replication and repair	DNA_replication
Genetic Information Processing	Translation	Ribosome
Genetic Information Processing	Folding, sorting and degradation	Protein_export
Environmental Information Processing	Membrane transport	ABC_transporters
Human Diseases	Drug resistance	beta-Lactam_resistance
Environmental Information Processing	Signal transduction	FoxO_signaling_pathway
Cellular Processes	Cell motility	Flagellar_assembly
Cellular Processes	Cell motility	Bacterial_chemotaxis
Environmental Information Processing	Membrane transport	Bacterial_secretion_system
Environmental Information Processing	Membrane transport	Phosphotransferase_system_PTS
Human Diseases	Infectious diseases	Vibrio_cholerae_pathogenic_cycle
Genetic Information Processing	Translation	Ribosome_biogenesis_in_eukaryotes
Human Diseases	Infectious diseases	Epithelial_cell_signaling_in_Helicobacter_pylori_infection
Human Diseases	Infectious diseases	Legionellosis
Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam_degradation
Metabolism	Xenobiotics biodegradation and metabolism	Atrazine_degradation
Metabolism	Metabolism of cofactors and vitamins	Lipoic_acid_metabolism
Genetic Information Processing	Replication and repair	Nucleotide_excision_repair
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin_biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	Monobactam_biosynthesis
Organismal Systems	Environmental adaptation	Plant-pathogen_interaction
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_type_II_polyketide_products
Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol_degradation
Human Diseases	Infectious diseases	Salmonella_infection
Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene_degradation
Organismal Systems	Endocrine system	Insulin_signaling_pathway
Human Diseases	Infectious diseases	Pertussis
Metabolism	Metabolism of other amino acids	Cyanoamino_acid_metabolism
Human Diseases	Infectious diseases	Amoebiasis
Human Diseases	Immune diseases	Systemic_lupus_erythematosus
Human Diseases	Infectious diseases	African_trypanosomiasis
Unknown function	Unknown function	Unknown function
