KO	Category	SuperPathway	SubPathway
K00024	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00024	Metabolism	Energy Metabolism	Methane metabolism
K00025	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00025	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00025	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00025	Metabolism	Energy Metabolism	Carbon fixation in photosynthetic organisms
K00025	Organismal Systems	Excretory System	Proximal tubule bicarbonate reclamation
K00026	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00026	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00026	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00026	Metabolism	Energy Metabolism	Carbon fixation in photosynthetic organisms
K00027	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00027	Environmental Information Processing	Signal Transduction	Two-component system
K00028	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00028	Metabolism	Energy Metabolism	Carbon fixation in photosynthetic organisms
K00029	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00029	Metabolism	Energy Metabolism	Carbon fixation in photosynthetic organisms
K00030	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00031	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00031	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00031	Metabolism	Metabolism of Other Amino Acids	Glutathione metabolism
K00031	Cellular Processes	Transport and Catabolism	Peroxisome
K00032	Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway
K00032	Metabolism	Metabolism of Other Amino Acids	Glutathione metabolism
K00033	Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway
K00033	Metabolism	Metabolism of Other Amino Acids	Glutathione metabolism
K00034	Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway
K00035	Metabolism	Carbohydrate Metabolism	Galactose metabolism
K00036	Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway
K00036	Metabolism	Metabolism of Other Amino Acids	Glutathione metabolism
K00037	Metabolism	Lipid Metabolism	Primary bile acid biosynthesis
K00037	Metabolism	Lipid Metabolism	Steroid hormone biosynthesis
K00038	Metabolism	Lipid Metabolism	Steroid hormone biosynthesis
K00039	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K00040	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K00041	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K00042	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00043	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00044	Metabolism	Lipid Metabolism	Steroid hormone biosynthesis
K00045	Metabolism	Carbohydrate Metabolism	Fructose and mannose metabolism
K00046	Unknown function	Unknown function	Unknown function
K00048	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00048	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00049	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00049	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00050	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00050	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00051	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00051	Metabolism	Energy Metabolism	Carbon fixation in photosynthetic organisms
K00052	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine biosynthesis
K00053	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine biosynthesis
K00053	Metabolism	Metabolism of Cofactors and Vitamins	Pantothenate and CoA biosynthesis
K00054	Metabolism	Metabolism of Terpenoids and Polyketides	Terpenoid backbone biosynthesis
K00055	Metabolism	Amino Acid Metabolism	Tyrosine metabolism
K00055	Metabolism	Amino Acid Metabolism	Phenylalanine metabolism
K00055	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00055	Metabolism	Xenobiotics Biodegradation and Metabolism	Xylene degradation
K00055	Metabolism	Xenobiotics Biodegradation and Metabolism	Caprolactam degradation
K00057	Metabolism	Lipid Metabolism	Glycerophospholipid metabolism
K00058	Metabolism	Energy Metabolism	Methane metabolism
K00058	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00059	Metabolism	Lipid Metabolism	Fatty acid biosynthesis
K00059	Metabolism	Lipid Metabolism	Biosynthesis of unsaturated fatty acids
K00059	Metabolism	Lipid Metabolism	Lipid biosynthesis proteins
K00060	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00061	Metabolism	Metabolism of Cofactors and Vitamins	Retinol metabolism
K00062	Unknown function	Unknown function	Unknown function
K00063	Unknown function	Unknown function	Unknown function
K00064	Metabolism	Carbohydrate Metabolism	Ascorbate and aldarate metabolism
K00065	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K00066	Metabolism	Carbohydrate Metabolism	Fructose and mannose metabolism
K00066	Metabolism	Carbohydrate Metabolism	Amino sugar and nucleotide sugar metabolism
K00066	Environmental Information Processing	Signal Transduction	Two-component system
K00067	Metabolism	Metabolism of Terpenoids and Polyketides	Polyketide sugar unit biosynthesis
K00067	Metabolism	Biosynthesis of Other Secondary Metabolites	Streptomycin biosynthesis
K00068	Metabolism	Carbohydrate Metabolism	Fructose and mannose metabolism
K00069	Human Diseases	Cancers	Transcriptional misregulation in cancers
K00070	Metabolism	Lipid Metabolism	Steroid hormone biosynthesis
K00071	Metabolism	Lipid Metabolism	Steroid hormone biosynthesis
K00071	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K00071	Organismal Systems	Excretory System	Aldosterone-regulated sodium reabsorption
K00072	Metabolism	Metabolism of Cofactors and Vitamins	Folate biosynthesis
K00073	Metabolism	Nucleotide Metabolism	Purine metabolism
K00074	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00074	Metabolism	Xenobiotics Biodegradation and Metabolism	Benzoate degradation
K00075	Metabolism	Carbohydrate Metabolism	Amino sugar and nucleotide sugar metabolism
K00075	Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
K00076	Unknown function	Unknown function	Unknown function
K00077	Metabolism	Metabolism of Cofactors and Vitamins	Pantothenate and CoA biosynthesis
K00078	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K00078	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K00079	Metabolism	Lipid Metabolism	Arachidonic acid metabolism
K00079	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K00081	Metabolism	Lipid Metabolism	Arachidonic acid metabolism
K00081	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K00082	Metabolism	Metabolism of Cofactors and Vitamins	Riboflavin metabolism
K00083	Metabolism	Biosynthesis of Other Secondary Metabolites	Phenylpropanoid biosynthesis
K00084	Metabolism	Lipid Metabolism	Arachidonic acid metabolism
K00084	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K00085	Unknown function	Unknown function	Unknown function
K00086	Metabolism	Lipid Metabolism	Glycerolipid metabolism
K00087	Metabolism	Nucleotide Metabolism	Purine metabolism
K00088	Metabolism	Nucleotide Metabolism	Purine metabolism
K00088	Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - other enzymes
K00089	Metabolism	Lipid Metabolism	Steroid hormone biosynthesis
K00090	Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway
K00091	Metabolism	Biosynthesis of Other Secondary Metabolites	Flavonoid biosynthesis
K00092	Unknown function	Unknown function	Unknown function
K00093	Metabolism	Energy Metabolism	Methane metabolism
K00094	Metabolism	Carbohydrate Metabolism	Galactose metabolism
K00095	Unknown function	Unknown function	Unknown function
K00096	Unknown function	Unknown function	Unknown function
K00097	Metabolism	Metabolism of Cofactors and Vitamins	Vitamin B6 metabolism
K00098	Unknown function	Unknown function	Unknown function
K00099	Metabolism	Metabolism of Terpenoids and Polyketides	Terpenoid backbone biosynthesis
K00100	Metabolism	Carbohydrate Metabolism	Fructose and mannose metabolism
K00100	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00100	Metabolism	Lipid Metabolism	Linoleic acid metabolism
K00100	Metabolism	Xenobiotics Biodegradation and Metabolism	Chloroalkane and chloroalkene degradation
K00100	Metabolism	Xenobiotics Biodegradation and Metabolism	Bisphenol degradation
K00101	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00102	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00103	Metabolism	Carbohydrate Metabolism	Ascorbate and aldarate metabolism
K00104	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00105	Metabolism	Lipid Metabolism	Glycerophospholipid metabolism
K00106	Metabolism	Nucleotide Metabolism	Purine metabolism
K00106	Metabolism	Biosynthesis of Other Secondary Metabolites	Caffeine metabolism
K00106	Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - other enzymes
K00106	Cellular Processes	Transport and Catabolism	Peroxisome
K00107	Unknown function	Unknown function	Unknown function
K00108	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00109	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00111	Metabolism	Lipid Metabolism	Glycerophospholipid metabolism
K00112	Metabolism	Lipid Metabolism	Glycerophospholipid metabolism
K00113	Metabolism	Lipid Metabolism	Glycerophospholipid metabolism
K00114	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00114	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00114	Metabolism	Xenobiotics Biodegradation and Metabolism	Chloroalkane and chloroalkene degradation
K00115	Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway
K00116	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00117	Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway
K00118	Unknown function	Unknown function	Unknown function
K00119	Metabolism	Metabolism of Other Amino Acids	Phosphonate and phosphinate metabolism
K00120	Metabolism	Metabolism of Terpenoids and Polyketides	Limonene and pinene degradation
K00120	Metabolism	Xenobiotics Biodegradation and Metabolism	Aminobenzoate degradation
K00120	Metabolism	Xenobiotics Biodegradation and Metabolism	Chloroalkane and chloroalkene degradation
K00120	Metabolism	Xenobiotics Biodegradation and Metabolism	Bisphenol degradation
K00120	Metabolism	Xenobiotics Biodegradation and Metabolism	Naphthalene degradation
K00120	Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
K00121	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00121	Metabolism	Energy Metabolism	Methane metabolism
K00121	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00121	Metabolism	Amino Acid Metabolism	Tyrosine metabolism
K00121	Metabolism	Metabolism of Cofactors and Vitamins	Retinol metabolism
K00121	Metabolism	Xenobiotics Biodegradation and Metabolism	Chloroalkane and chloroalkene degradation
K00121	Metabolism	Xenobiotics Biodegradation and Metabolism	Naphthalene degradation
K00121	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K00121	Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - cytochrome P450
K00122	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00122	Metabolism	Energy Metabolism	Methane metabolism
K00123	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00123	Metabolism	Energy Metabolism	Methane metabolism
K00124	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00124	Metabolism	Energy Metabolism	Methane metabolism
K00125	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00125	Metabolism	Energy Metabolism	Methane metabolism
K00126	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00126	Metabolism	Energy Metabolism	Methane metabolism
K00127	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00127	Metabolism	Energy Metabolism	Methane metabolism
K00128	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00128	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K00128	Metabolism	Carbohydrate Metabolism	Ascorbate and aldarate metabolism
K00128	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00128	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00128	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00128	Metabolism	Lipid Metabolism	Glycerolipid metabolism
K00128	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00128	Metabolism	Amino Acid Metabolism	Lysine degradation
K00128	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00128	Metabolism	Amino Acid Metabolism	Histidine metabolism
K00128	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K00128	Metabolism	Metabolism of Other Amino Acids	beta-Alanine metabolism
K00128	Metabolism	Metabolism of Terpenoids and Polyketides	Limonene and pinene degradation
K00128	Metabolism	Xenobiotics Biodegradation and Metabolism	Chloroalkane and chloroalkene degradation
K00129	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00129	Metabolism	Amino Acid Metabolism	Histidine metabolism
K00129	Metabolism	Amino Acid Metabolism	Tyrosine metabolism
K00129	Metabolism	Amino Acid Metabolism	Phenylalanine metabolism
K00129	Metabolism	Metabolism of Other Amino Acids	beta-Alanine metabolism
K00129	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K00129	Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - cytochrome P450
K00130	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00131	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00132	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00132	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00132	Metabolism	Xenobiotics Biodegradation and Metabolism	Benzoate degradation
K00132	Metabolism	Xenobiotics Biodegradation and Metabolism	Xylene degradation
K00132	Metabolism	Xenobiotics Biodegradation and Metabolism	Dioxin degradation
K00133	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00133	Metabolism	Amino Acid Metabolism	Cysteine and methionine metabolism
K00133	Metabolism	Amino Acid Metabolism	Lysine biosynthesis
K00134	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00134	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K00135	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00135	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00135	Metabolism	Amino Acid Metabolism	Tyrosine metabolism
K00137	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00137	Metabolism	Metabolism of Other Amino Acids	beta-Alanine metabolism
K00138	Unknown function	Unknown function	Unknown function
K00139	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00139	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00140	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00140	Metabolism	Carbohydrate Metabolism	Inositol phosphate metabolism
K00140	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00140	Metabolism	Metabolism of Other Amino Acids	beta-Alanine metabolism
K00141	Metabolism	Xenobiotics Biodegradation and Metabolism	Aminobenzoate degradation
K00141	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00141	Metabolism	Xenobiotics Biodegradation and Metabolism	Xylene degradation
K00142	Metabolism	Lipid Metabolism	Lipid biosynthesis proteins
K00143	Metabolism	Amino Acid Metabolism	Lysine biosynthesis
K00143	Metabolism	Amino Acid Metabolism	Lysine degradation
K00145	Metabolism	Amino Acid Metabolism	Lysine biosynthesis
K00145	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00146	Metabolism	Amino Acid Metabolism	Phenylalanine metabolism
K00146	Metabolism	Xenobiotics Biodegradation and Metabolism	Styrene degradation
K00147	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00148	Metabolism	Energy Metabolism	Methane metabolism
K00148	Metabolism	Xenobiotics Biodegradation and Metabolism	Chloroalkane and chloroalkene degradation
K00149	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00149	Metabolism	Carbohydrate Metabolism	Ascorbate and aldarate metabolism
K00149	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00149	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00149	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00149	Metabolism	Lipid Metabolism	Glycerolipid metabolism
K00149	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00149	Metabolism	Amino Acid Metabolism	Lysine degradation
K00149	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00149	Metabolism	Amino Acid Metabolism	Histidine metabolism
K00149	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K00149	Metabolism	Metabolism of Other Amino Acids	beta-Alanine metabolism
K00150	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00150	Metabolism	Energy Metabolism	Carbon fixation in photosynthetic organisms
K00151	Metabolism	Amino Acid Metabolism	Tyrosine metabolism
K00152	Metabolism	Xenobiotics Biodegradation and Metabolism	Naphthalene degradation
K00153	Unknown function	Unknown function	Unknown function
K00154	Unknown function	Unknown function	Unknown function
K00155	Metabolism	Metabolism of Terpenoids and Polyketides	Limonene and pinene degradation
K00155	Metabolism	Metabolism of Terpenoids and Polyketides	Geraniol degradation
K00155	Metabolism	Xenobiotics Biodegradation and Metabolism	Naphthalene degradation
K00156	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00157	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00157	Metabolism	Amino Acid Metabolism	Tyrosine metabolism
K00157	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K00157	Metabolism	Metabolism of Cofactors and Vitamins	Vitamin B6 metabolism
K00157	Metabolism	Metabolism of Cofactors and Vitamins	Nicotinate and nicotinamide metabolism
K00157	Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - cytochrome P450
K00158	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00161	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00161	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00161	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00161	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00161	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine biosynthesis
K00162	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00162	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00162	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00162	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00162	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine biosynthesis
K00163	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00163	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00163	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00163	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00163	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine biosynthesis
K00164	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00164	Metabolism	Amino Acid Metabolism	Lysine degradation
K00164	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K00166	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00167	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00169	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00169	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00169	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00169	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00169	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00169	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00169	Metabolism	Energy Metabolism	Methane metabolism
K00169	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00170	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00170	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00170	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00170	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00170	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00170	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00170	Metabolism	Energy Metabolism	Methane metabolism
K00170	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00171	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00171	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00171	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00171	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00171	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00171	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00171	Metabolism	Energy Metabolism	Methane metabolism
K00171	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00172	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00172	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00172	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00172	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00172	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00172	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00172	Metabolism	Energy Metabolism	Methane metabolism
K00172	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00174	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00174	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00175	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00175	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00176	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00176	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00177	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00177	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00178	Unknown function	Unknown function	Unknown function
K00179	Unknown function	Unknown function	Unknown function
K00180	Unknown function	Unknown function	Unknown function
K00181	Environmental Information Processing	Signal Transduction	Wnt signaling pathway
K00182	Environmental Information Processing	Signal Transduction	Wnt signaling pathway
