Category	SuperPathway	SubPathway	Gene	KOAnnot
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	K00105	E1.1.3.21; alpha-glycerophosphate oxidase
Metabolism	Nucleotide metabolism	Purine_metabolism	K00106	XDH; xanthine dehydrogenase/oxidase
Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	K00108	betA, CHDH; choline dehydrogenase
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00109	E1.1.99.2; 2-hydroxyglutarate dehydrogenase
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00114	exaA; alcohol dehydrogenase (cytochrome c)
Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	K00115	E1.1.5.9; glucose dehydrogenase (acceptor)
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00116	mqo; malate dehydrogenase (quinone)
Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	K00117	gcd; quinoprotein glucose dehydrogenase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00122	FDH; formate dehydrogenase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00123	fdoG, fdfH; formate dehydrogenase major subunit
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00124	fdoH; formate dehydrogenase iron-sulfur subunit
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00125	E1.2.1.2B2; formate dehydrogenase, beta subunit
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00126	fdsD; formate dehydrogenase subunit delta
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00127	fdoI; formate dehydrogenase subunit gamma
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00128	E1.2.1.3; aldehyde dehydrogenase (NAD+)
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00129	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+)
Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	K00130	betB, gbsA; betaine-aldehyde dehydrogenase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)
Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	K00133	asd; aspartate-semialdehyde dehydrogenase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K00137	prr; aminobutyraldehyde dehydrogenase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00138	aldB; aldehyde dehydrogenase
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00139	ALDH5A1; succinate-semialdehyde dehydrogenase
Metabolism	Carbohydrate metabolism	Propanoate_metabolism	K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate_degradation	K00141	xylC; benzaldehyde dehydrogenase (NAD)
Metabolism	Amino acid metabolism	Lysine_biosynthesis	K00143	LYS2; L-aminoadipate-semialdehyde dehydrogenase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase
Metabolism	Amino acid metabolism	Phenylalanine_metabolism	K00146	feaB; phenylacetaldehyde dehydrogenase
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	K00147	proA; glutamate-5-semialdehyde dehydrogenase
Metabolism	Energy metabolism	Methane_metabolism	K00148	fdhA; glutathione-independent formaldehyde dehydrogenase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P))
Metabolism	Amino acid metabolism	Tyrosine_metabolism	K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene_degradation	K00152	nahF; salicylaldehyde dehydrogenase
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00156	poxB; pyruvate dehydrogenase (quinone)
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00157	AOX; aldehyde oxidase
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00158	E1.2.3.3, poxL; pyruvate oxidase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00163	aceE; pyruvate dehydrogenase E1 component
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00174	korA, oorA; 2-oxoglutarate ferredoxin oxidoreductase subunit alpha
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00175	korB, oorB; 2-oxoglutarate ferredoxin oxidoreductase subunit beta
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma
Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	K00181	PPN; porcupine
Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	K00182	WNT2; wingless-type MMTV integration site family, member 2
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00186	vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00187	vorB; 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00188	vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00189	vorG; 2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit
Metabolism	Energy metabolism	Methane_metabolism	K00192	cdhA; acetyl-CoA decarbonylase/synthase complex subunit alpha
Metabolism	Energy metabolism	Methane_metabolism	K00193	cdhC; acetyl-CoA decarbonylase/synthase complex subunit beta
Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	K00194	cdhD, acsD; acetyl-CoA decarbonylase/synthase complex subunit delta
Metabolism	Energy metabolism	Methane_metabolism	K00195	cdhB; acetyl-CoA decarbonylase/synthase complex subunit epsilon
Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	K00196	cooF; carbon-monoxide dehydrogenase iron sulfur subunit
Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	K00197	cdhE, acsC; acetyl-CoA decarbonylase/synthase complex subunit gamma
Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	K00198	cooS, acsA; carbon-monoxide dehydrogenase catalytic subunit
Metabolism	Energy metabolism	Methane_metabolism	K00200	fwdA, fmdA; formylmethanofuran dehydrogenase subunit A
Metabolism	Energy metabolism	Methane_metabolism	K00201	fwdB, fmdB; formylmethanofuran dehydrogenase subunit B
Metabolism	Energy metabolism	Methane_metabolism	K00202	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C
Metabolism	Energy metabolism	Methane_metabolism	K00203	fwdD, fmdD; formylmethanofuran dehydrogenase subunit D
Metabolism	Energy metabolism	Methane_metabolism	K00204	fwdH; 4Fe-4S ferredoxin
Metabolism	Energy metabolism	Methane_metabolism	K00205	fwdF, fmdF; 4Fe-4S ferredoxin
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K00207	DPYD; dihydropyrimidine dehydrogenase (NADP+)
Metabolism	Lipid metabolism	Fatty_acid_biosynthesis	K00208	fabI; enoyl-[acyl-carrier protein] reductase I
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)
Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	K00210	E1.3.1.12; prephenate dehydrogenase
Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	K00211	TYR1; prephenate dehydrogenase (NADP+)
Metabolism	Xenobiotics biodegradation and metabolism	Metabolism_of_xenobiotics_by_cytochrome_P450	K00212	E1.3.1.20; trans-1,2-dihydrobenzene-1,2-diol dehydrogenase
Metabolism	Lipid metabolism	Steroid_biosynthesis	K00213	DHCR7; 7-dehydrocholesterol reductase
Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	K00214	BLVRA, bvdR; biliverdin reductase
Metabolism	Amino acid metabolism	Lysine_biosynthesis	K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_siderophore_group_nonribosomal_peptides	K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate_degradation	K00217	E1.3.1.32; maleylacetate reductase
Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	K00218	E1.3.1.33, por; protochlorophyllide reductase
Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	K00220	tyrC; cyclohexadieny/prephenate dehydrogenase
Metabolism	Lipid metabolism	Steroid_biosynthesis	K00222	TM7SF2, ERG24; delta14-sterol reductase
Metabolism	Lipid metabolism	Steroid_biosynthesis	K00223	ERG4; delta24(24(1))-sterol reductase
Metabolism	Carbohydrate metabolism	Ascorbate_and_aldarate_metabolism	K00225	GLDH; L-galactono-1,4-lactone dehydrogenase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K00226	pyrD; dihydroorotate dehydrogenase (fumarate)
Metabolism	Lipid metabolism	Steroid_biosynthesis	K00227	SC5DL, ERG3; lathosterol oxidase
Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	K00228	CPOX, hemF; coproporphyrinogen III oxidase
Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase
Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	K00231	PPOX, hemY; oxygen-dependent protoporphyrinogen oxidase
Metabolism	Lipid metabolism	Fatty_acid_degradation	K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00235	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00236	SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00237	SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00244	frdA; fumarate reductase flavoprotein subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00245	frdB; fumarate reductase iron-sulfur subunit
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00246	frdC; fumarate reductase subunit C
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00247	frdD; fumarate reductase subunit D
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00248	ACADS, bcd; butyryl-CoA dehydrogenase
Metabolism	Carbohydrate metabolism	Propanoate_metabolism	K00249	ACADM, acd; acyl-CoA dehydrogenase
Metabolism	Lipid metabolism	Primary_bile_acid_biosynthesis	K00251	AKR1D1; 3-oxo-5-beta-steroid 4-dehydrogenase
Metabolism	Lipid metabolism	Fatty_acid_degradation	K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00253	IVD, ivd; isovaleryl-CoA dehydrogenase
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	K00254	DHODH, pyrD; dihydroorotate dehydrogenase
Metabolism	Lipid metabolism	Fatty_acid_degradation	K00255	ACADL; long-chain-acyl-CoA dehydrogenase
Metabolism	Metabolism of terpenoids and polyketides	Geraniol_degradation	K00257	E1.3.99.-;
Metabolism	Amino acid metabolism	Alanine_aspartate_and_glutamate_metabolism	K00259	ald; alanine dehydrogenase
Metabolism	Energy metabolism	Nitrogen_metabolism	K00260	gudB, rocG; glutamate dehydrogenase
Metabolism	Energy metabolism	Nitrogen_metabolism	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)
Metabolism	Energy metabolism	Nitrogen_metabolism	K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+)
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00263	E1.4.1.9; leucine dehydrogenase
Metabolism	Energy metabolism	Nitrogen_metabolism	K00264	GLT1; glutamate synthase (NADPH/NADH)
Metabolism	Energy metabolism	Nitrogen_metabolism	K00265	gltB; glutamate synthase (NADPH/NADH) large chain
